"CPF"|"CUSTOMER_ID"|"PERIOD_START"|"PERIOD_END"|"TIMESTAMP_REQUEST"|"DT_INI"
"00000000900"|"57dac46e-8324-4e7e-89f4-1dbaeea63548"|"3/1/2026"|"6/30/2026"|"7/28/2026 21:13:48"|2026-08-06 21:20:29.000
"00000001000"|"5bad2675-0078-4ae4-a4f1-5f21e0dc383c"|"1/1/2026"|"7/31/2026"|"7/31/2026 18:19:45"|2026-08-10 14:25:23.000
"00000001100"|"65241323-00c7-43b2-abc4-5e60b6b576e5"|"6/12/2025"|"7/31/2026"|"7/31/2026 18:22:40"|
"00000001100"|"65241323-00c7-43b2-abc4-5e60b6b576e5"|"11/11/2025"|"7/31/2026"|"7/31/2026 18:23:16"|
"00000001200"|"5e1896c3-7f6d-4564-9b72-88a5ad217c64"|"1/1/2026"|"7/30/2026"|"7/31/2026 19:41:51"|
"00000001200"|"5e1896c3-7f6d-4564-9b72-88a5ad217c64"|"1/1/2026"|"7/30/2026"|"7/31/2026 19:42:57"|
"00000001200"|"5e1896c3-7f6d-4564-9b72-88a5ad217c64"|"1/1/2026"|"7/30/2026"|"7/31/2026 19:44:17"|
"00000001300"|"6426d9df-1de1-4f28-9d5c-ec263b5288d2"|"7/31/2025"|"7/30/2026"|"7/31/2026 20:02:22"|
"00000001400"|"5de2aaba-b789-4d3b-a6c8-58c458119fdd"|"1/1/2026"|"7/31/2026"|"7/31/2026 21:35:50"|
"00000001500"|"5d44f80c-8f22-4bab-ab5d-db8fb5d2d373"|"6/1/2026"|"7/31/2026"|"7/31/2026 21:36:46"|
"00000001600"|"586a1836-aa9b-4697-a455-5c8286db758b"|"4/21/2025"|"7/31/2026"|"7/31/2026 21:45:37"|
"00000001700"|"5b26932d-d3bd-498b-aed5-ca5fa894ec2f"|"4/1/2026"|"7/30/2026"|"7/31/2026 21:49:37"|
"00000001800"|"59287934-6f47-4bca-b78f-d15b741eb78e"|"6/1/2025"|"7/31/2026"|"7/31/2026 22:30:03"|
"00000001900"|"62f51fa7-ff41-4525-a42f-de60b7defcb7"|"6/1/2026"|"7/31/2026"|"7/31/2026 22:36:12"|
"00000002000"|"554849f3-e486-43fe-b3c1-d4e67118cddc"|"7/1/2025"|"7/30/2026"|"7/31/2026 23:28:55"|
"00000002100"|"5a04f1d1-51ea-4480-99b7-c5216951c0bb"|"8/1/2024"|"8/1/2026"|"8/1/2026 6:32:40"|
"00000002200"|"66ce42c8-0499-4a9b-b3a5-0a7176a0a4ec"|"1/1/2026"|"7/31/2026"|"8/1/2026 7:26:29"|
"00000002300"|"5f7cff8c-bb77-4c01-b849-c064b2e7b5cc"|"7/1/2026"|"8/1/2026"|"8/1/2026 7:26:58"|
"00000002300"|"5f7cff8c-bb77-4c01-b849-c064b2e7b5cc"|"7/1/2026"|"8/1/2026"|"8/1/2026 7:28:12"|
